"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"Amazon Kindle Colorsoft キッズモデル ファンタジーリバーカバー | Amazon Kids+で2,000冊以上の子ども向けの本が12か月間読み放題、防水、16GBストレージ、最大8週間持続バッテリー","103","34","50","21","¥ 53,980","¥ 53,980","1","B0DZ9CW4PJ","B0G1LRQFVL","20.3","17.7","3.4","580"
"【整備済み品】 Apple iPad (第５世代) Wi-Fi + Cellular 32GB スペースグレイ (整備済み品)","129","35","","363","¥ 9,800","","","B09571ML51","B09BZ1T88Q","32.9","23.8","3.1","650"
"Amazonベーシック USB 延長ケーブル USB-A 2.0 プリンター対応 速度480Mbps 2.0m 10本セット (タイプAオス - タイプAメス) ブラック","100","73","","537","¥ 5,223","¥ 5,223","1","B07254JC9V","B0CD3YLFRD","24.9","17.3","10.6","907"
"【整備済み品】 超軽量薄型 LIFEBOOK U9310 ■13.3型FHD(1920x1080) - Win11搭載 - 第10世代Core i3-10110U - 8GBメモリ - M.2 SSD 256GB - Webカメラ内蔵 - WiFi&Bluetooth - Type-C - MS Office 2019 (整備済み品)","104","29","","14","¥ 26,800","","2","B0CZP6KFMF","B0CZPHCBYR","42.3","27.5","9","1270"
"Sweguard USB Type C ケーブル PD対応 60W急速充電 (灰, 5.5m)","105","50","","18462","¥ 5,860","","1","B07JNK55TQ","B0FNN9G3RX","24.7","9.5","1.7","150"
"【整備済み品】 【Amazon.co.jp 限定】DELL デスクトップPC 7010/9010/ MS Office 2019/Win 11/Core i5-3570/HDMI/WIFI/Zeroウイルスセキュリティーソフト/DVD/メモリ:8GB/(整備済み品) (Windows 11搭載, SSD:128GB)","148","32","","252","¥ 17,820","","3","B09R247952","B09R25G52X","41.9","32.4","10.5","5640"
"【整備済み品】 【Amazon.co.jp 限定】「Windows 10 Pro 」番組連動/DELL HP 富士通 NEC デスクトップPC/MS Office 2019/Celeron or Core 2 /WIFI/Bluetooth/DVD/4GB/(整備済み品) SSD 128GB","108","31","","27","¥ 9,870","","1","B09QGT7TFH","B09QK1G2PD","35","30","20","1000"
"Logicool G 原神 神里綾華 特別モデル ゲーミングマウス G309 LIGHTSPEED ワイヤレス マウス G309WL-GE-AYA 軽量 LIGHTFORCE ハイブリッドスイッチ HERO 25K センサー 6個プログラムボタン 300時間以上連続使用可能 Bluetooth POWERPLAY ワイヤレス充電 ホワイト ゲーミング PC Windows Mac 国内正規品","110","59","50","40","¥ 6,900","¥ 6,900","5","B0DV5D346X","B0FWB24GVS","17.3","10.3","4.9","170"
"UnionSine 500GB 外付け ハードディスク超薄型外付けHDDポータブルハードディスク2.5インチ USB3.0","112","68","1000","50985","¥ 5,980","","1","B091FS79T8","B093Y5WKXQ","14","10.3","3.6","210"
"Amazon eero Pro 6E - メッシュwifi システム | Wi-Fi 6E | AXE5400 | 2.5Gbpsイーサネット | 最大wifi範囲380m² | 同時接続デバイス約100台 | 2ユニット","114","40","","62","¥ 49,800","¥ 49,800","1","B0CX31KFWR","B0DGP7MGT4","24.8","18.2","15.3","2170"
"エプソン 純正 インクカートリッジ IB07CL4B ４色パック 大容量インク","115","75","1000","731","¥ 12,681","","70","B08JG93V21","B0DR8W3QGB","16.5","14.6","8.2","220"
"Amazon eero Pro 7 - トライバンドメッシュwifiルーター | Wi-Fi 7対応 | BE9200 | 5Gbpsイーサネット×2 | 2ユニット","135","38","50","67","¥ 79,800","¥ 79,800","1","B0DN3FFF3S","B0F8VKXH9W","34.8","21.8","12.7","2720"
"【整備済み品】 Apple 12.9インチiPad Pro用 スマートキーボード -日本語 JIS/MNKT2J/A (整備済み品)","153","37","","31","¥ 6,188","","1","B094X58ZKJ","","31.6","24","1.4","650"
"ASUSモニター / VY249HGR Eye Care モニター / 23.8インチ FHD（1920 x 1080）/ IPS / 120Hz(OC) / SmoothMotion / 1ms（MPRT）/ Adaptive Sync/ブルーライト軽減機能/フリッカーフリー/抗菌加工/国内正規品","117","99","1000","303","¥ 11,280","¥ 11,280","1","B0DNDXMLR7","B0H62CHF87","60.4","41.7","14.4","4840"
"Seagate シーゲイト 4TB ST4000DM004 正規代理店品 Barracuda 内蔵 HDD ハードディスク 3.5インチ デスクトップ PC SATA 180日保証【整備済み品】","155","41","","218","¥ 21,800","","1","B09GS2QKSR","B0FLDDYVK1","20","15.3","7","550"
"SteelSeries ゲーミングマウスパッド 布製 水洗い可能 大型 XXLサイズ 90cm×40cm×0.2cm QcK XXL Neon Sunset 63472 ネオンサンセット","118","55","","79123","¥ 6,036","¥ 6,036","2","B0H6B473QS","B0FWB2CGJF","44.1","7","6.9","570"
"【整備済み品】 ノートパソコン 富士通 FUJITSU A574 /■ 高性能第4世代Core i7/■大容量メモリ16GB /内蔵テンキー/Office2019/Windows11 /無線LAN/HDMI/DVD/在宅勤務 仕事用 学習用 初期設定済 15.6型 (整備済み品) (内蔵テンキー搭載, SSD 256GB)","118","30","","120","¥ 29,999","","2","B0C4Q4PDLD","B0C4QLKZ7Q","30","20","3","2000"
"【整備済み品】 Dell ディスプレイ モニター P1914S 19インチ/SXGA/TN非光沢/8ms/VGA,DVI,DP/USBハブ","118","22","","5","¥ 5,500","","1","B09QCMX4Z4","B09QCNPHPV","48.2","41.4","20.6","6460"
"エプソン 純正 インクカートリッジ IB07KB ブラック 大容量インク","119","77","500","363","¥ 6,389","¥ 6,464","37","B08JGPFSTM","B0BQVSG7LK","15.8","11.1","4.7","100"
"【整備済み品】 『大容量メモリ:16GB搭載』東芝 ノートPC 薄型・軽量 Toshiba Dynabook R73■Core-i5-7200U/13.3型/メモリ16GB/SSD256GB/Windows11搭載/Office 搭載/HDMI/WIFI/仕事用/高いパフォーマンス(整備済み品) (4)MS Office/第7世代Corei5/16GB/256GB)","119","18","","2","¥ 32,399","","1","B0CZDVKMFG","B0CZF76Z7H","4","2.8","1.1","2000"
