"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"ENVENTOR 冷蔵庫 小型 15L ミニ冷蔵庫 冷温庫 保冷・保温 AC/DC電源 車載対応 ブラック","439","51","50","17","¥ 12,690","","1","B0FL7BNBWQ","B0FX41Q92N","43.7","38.5","31.5","6270"
"SunRuck 衣類乾燥機 3kg ホワイト 小型 ドラム式 タッチパネル タイマー UV除菌 梅雨対策 新生活 乾きくん SR-ASMN206-W","449","69","50","309","¥ 32,780","","2","B0BK8JZYMD","B0D3X8B5H2","61.5","52.5","44.5","16670"
"【上からサッと、業務級冷凍】 SKK 冷凍庫 99L 上開き チェストフリーザー 静音 急冷凍 温度調節11段階 バスケット付き フリーザー ストッカー冷凍 大容量 新生活 家庭用 【日本企業】","452","60","","7","¥ 19,780","","1","B0GL1RNBRF","B0GL1RVM52","","","",""
"小型冷蔵庫 12.8L ミニ冷蔵庫 Msake 保温保冷両用 省エネ静音設計 0～60℃温度調節 AC/DC給電 家庭用 車中泊 キャンプ用","459","63","100","52","¥ 14,580","","1","B0CSD8L9CL","B0G8FH25VJ","43","38","31","5400"
"【急速冷凍、-24℃。】上開き 冷凍庫 ホワイト チェストフリーザー セカンド冷蔵庫 静音 大容量 温度調節11段階 急冷凍 直冷式 バスケット付き (99L)","463","62","50","13","¥ 19,880","","1","B0GL1Q9GY2","B0GL1JL7LB","","","",""
"Antarctic Star ワインセラー 91L 26本 120缶収納可能 コンパクト 静音設計 4-16℃精密温度調整 風冷循環 スリム自立式 家庭・オフィス・バー向け","489","40","","","¥ 31,999","","1","B0H1LBP4L6","B0H3PMWRQ6","89","56","48","27020"
"Garvee ドリンク冷蔵庫 ワインセラー 90L コンプレッサー式 3～16℃ 小型 タッチパネル搭載 左右開き 庫内灯付き 省エネ コンパクト","401","25","","5","¥ 35,580","","1","B0H5QBG21Z","B0H5Q26GDH","87","56","51","27000"
"＼どこにでも置けるスリムさ/アイリスオーヤマ スリム冷蔵庫 66L 奥行約39cm 右開き IRSN-7A-B","565","79","50","24","¥ 42,800","","3","B0CBMHY61R","B0CLVBKS6T","86","58","42","26400"
"ENVENTOR 冷蔵庫 小型 10L、1℃単位温度調節・LCD表示、AC電源・DC 12V対応、ブラック","497","47","50","437","¥ 10,996","","1","B0DYDM1CJG","B0F3HVF2CH","40","34","30","5000"
"【いつでも、新生活応援。 5.5kg 】 洗濯機 一人暮らし 二人暮らし 小型 スリム コンパクト 縦型 静音 ステンレス槽 全自動洗濯機 【JAPAN BRAND】","504","74","50","128","¥ 21,480","","1","B0DZB8X1T2","B0DW3SZNHY","","","",""
"パナソニック(Panasonic) ビルトインIHクッキングヒーター IH2口+ラジエント 幅60cm 鉄 ステンレス対応 KZ-L32AS ブラック/ライトグレー Lシリーズ","505","64","","293","¥ 66,517","","2","B0BNSWC951","B0GR9MBSNQ","66","65.5","28.5","18000"
"ツインバード 燕三条 2電源式コンパクト電子保冷保温ボックス 保冷保温庫 5.5L DC電源対応 ポータブル冷蔵庫 車載対応 熱中症対策 持ち運び 静音モード搭載【メーカー保証1年】ホワイト HR-EB06W","508","69","50","62","¥ 15,120","","12","B0BQYRQW6H","B0CND1B7MS","37.6","34.4","27","3740"
"SAMKYO 冷凍庫 70L 幅35.6cm スリム 自動霜取り 急速冷凍 -27℃ 5段階温度調節 ファン式 冷凍ストッカー 前開き 省スペース 静音 セカンド冷凍庫 家庭用 ZU70SD ホワイト","531","57","100","548","¥ 37,990","","1","B0FBWWJB6N","B0FLDKPW2C","91","58","38","26500"
"パナソニック 乾燥容量6.0kg 衣類乾燥機 NH-D605-W ホワイト","616","88","50","52","¥ 74,700","","14","B0CB646XTH","","69","67","67","28000"
"BDR-3HL-601-W ホワイト","576","68","50","81","¥ 23,511","","6","B00HE4DIMW","","75.9","63.6","44.6","14940"
"アビテラックス 冷蔵庫 92L【国内メーカー】 直冷式 7段階温度調整 製氷スペース付き 棚レイアウト自由 大容量 幅47.5cm 高さ84.8cm 奥行45cm マットグレー","583","51","50","25","¥ 22,800","","1","B0GZYSGVKK","B0H6NM3BZJ","87","50.5","46.5","32500"
"Shelddi ミニ冷蔵庫 36L 透明ガラスドア 小型 コンプレッサー式 おしゃれ 静音 ミニバー 省エネ 一人暮らし 1ドア 温度設定3-16℃ 家庭用 ホテル 旅館 GR-036 本体","561","63","50","9","¥ 20,500","","1","B0G4KR64XH","B0GMRMKD12","52.5","50.5","46.5","17500"
