"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"shu uemura(シュウ ウエムラ) アルティム8∞ スブリム ビューティ クレンジング オイルn 150mL メイク落とし クレンジングオイル","549","80","1000","1001","¥ 6,270","","1","B0CFKHVB1G","B0GTZQXZCJ","20","4.9","4.8","190"
"ビーリス larich scalp (ラリッチスカルプ) [ 医薬部外品 育毛剤 女性用 男性用 発毛促進 病後・産後の脱毛 ] 1本/60g","561","99","3000","114","¥ 5,652","","1","B0CDL9464T","B0FB843KBJ","20.9","14.9","4.4","160"
"エリクシール シワ改善クリーム レチノパワー リンクルクリーム ba [2025年モデル] L 本体 22g 医薬部外品 アイクリーム エイジングケア レチノール 純粋レチノール コラジェネシス シュペリエル ELIXIR","564","101","1000","119","¥ 7,050","¥ 8,800","28","B0FJXTTPPZ","B0FLDPK65Y","17.9","4.9","3.1","50"
"PERFECT DIARY パーフェクトダイアリー 【ローズピンク限定版セット】 化粧品ギフトセット 6点セット人気セット アイシャドウ パウダー リップスティック マスカラメイクアップセット 初心者 人気化粧品セット 新年 誕生日 お祝い日 贈り物 バレンタインデー","574","62","","9","¥ 5,500","","1","B0GMVYS4YL","B0B3RLLQ3S","14.8","3.7","3.7",""
"スカルプD 育毛剤 薬用育毛トニック 3本セット 男性用 抜け毛予防 日本製 医薬部外品 180ml","579","91","600","2048","¥ 11,400","","1","B0BFHVKYRM","B0GSTT9MMH","23.6","21.4","5.3","570"
"スカルプD まつげ美容液 プレミアム 2本セット 【 色素沈着なし 】毛髪補修 成分4倍 まつ毛 目元ケア/ 1日1回 / マツエク マツパ OK 4mL 2.5か月分","617","73","100","29","¥ 7,120","","1","B0CWGYF6QQ","B0CXWCLPYB","22.9","21","2.6","80"
"DECORTÉ(コスメデコルテ) フェイスパウダー ルース パウダー 101 harmony veil 16g","590","109","1000","1075","¥ 6,270","","1","B0DBTYR98F","B0H69PTPT3","7.7","7.2","4.5","100"
"collagem コラジェム シャンプー トリートメント 詰め替え 6点セット モイスチャーリペア","614","51","","576","¥ 7,200","","1","B0H27LNJ4S","B0H2GM1LHR","25","14","7.5","2500"
"D plus(ディープラス) プラントオリジンオイル ピオニー150ml 72本","618","76","","2605","¥ 71,740","¥ 71,740","1","B0FB95ZYHF","B0FX27NCW5","46.2","41.6","16.5","12830"
"Nobby ノビー アレンジアイロン NBS501","625","104","4000","1229","¥ 6,400","¥ 7,488","22","B0C495XZFW","","30","12.8","5.7","460"
